6.549	1.649	4.39
6.062	1.692	3.388
6.831	1.5	4.754
8.488	1.92	3.465	2.431	2.431
6.245	1.761	2.906	0.737	0.737
7.125	1.716	3.901	0.791	0.791
8.828	1.644	5.787	0.717	0.717
7.052	1.665	3.867	0.816	0.816
8.484	2.41	5.479
5.705	1.467	3.86
5.72	1.684	3.307
6.442	1.395	3.757	0.799	0.799
4.613	1.245	2.351	0.65	0.65
6.354	1.462	3.054	0.68	0.68
5.316	1.464	2.681	0.657	0.657
6.46	2.391	2.953	0.663	0.663
5.275	1.563	2.673	0.665	0.665
6.142	1.526	3.552	0.634	0.634
5.142	1.652	2.388	0.72	0.72
5.472	1.514	3.602
13.936	1.304	3.092	2.071	2.071
4.978	1.262	2.561	0.692	0.692
5.382	1.614	2.639	0.688	0.688
5.635	1.437	2.344	1.399	0.6995
5.495	1.353	2.576	1.121	0.5605
5.73	1.351	2.788	1.068	0.534
5.682	1.505	2.668	1.055	0.5275
6.091	1.293	3.533	0.833	0.833
7.487	2.005	3.805	0.992	0.992
6.849	1.484	4.052	0.782	0.782
5.175	1.385	2.612	0.722	0.722
6.387	1.316	3.334	1.278	0.639
7.196	1.682	3.576	1.277	1.277
6.286	1.574	2.831	1.366	0.683
6.038	1.679	3.94
5.556	1.389	3.666
5.054	1.322	3.424
4.675	1.627	2.701
16.422	1.954	13.968
4.925	1.598	3.062
7.182	2.911	3.857
7.373	1.579	3.642	1.501	0.7505
9.523	2.373	4.018	2.444	1.222
6.708	1.538	3.264	1.287	0.6435
6.804	1.439	3.772	1.099	0.5495
5.363	1.334	2.52	1.049	0.5245
8.857	2.14	3.641	2.373	1.1865
6.113	1.253	3.233	1.149	0.5745
6.304	1.493	2.796	1.477	0.7385
7.675	1.892	3.706	1.519	0.7595
6.57	1.534	2.925	1.412	0.706
8.35	1.644	3.851	2.166	0.722
5.487	1.418	2.451	1.174	0.587
7.339	1.584	3.954	1.267	0.6335
9.277	1.947	3.192	3.249	1.083
6.228	1.695	2.615	1.368	0.684
8.164	1.561	3.806	2.179	0.726333
6.958	1.362	2.807	2.275	1.1375
6.686	1.516	3.61	1.077	1.077
6.434	1.587	3.642	0.683	0.683
5.592	1.318	2.986	0.84	0.84
13.688	1.688	11.617
4.536	1.351	2.865
4.926	1.341	3.242
5.024	1.404	2.55	0.701	0.701
5.559	1.39	3.127	0.64	0.64
5.011	1.444	2.45	0.728	0.728
7.998	1.553	5.064	0.749	0.749
4.851	1.357	2.47	0.657	0.657
6.086	1.351	3.571	0.758	0.758
8.012	1.425	4.5	1.441	0.7205
8.134	1.49	4.74	1.326	0.663
5.777	1.391	2.746	1.125	0.5625
7.852	2.023	4.29	1.083	0.5415
6.76	1.738	2.647	1.945	1.945
4.31	1.614	2.415
5.863	1.601	3.891
5.107	1.294	2.507	0.843	0.843
5.593	1.332	3.243	0.63	0.63
4.815	1.417	2.334	0.707	0.707
6.796	1.622	3.883	0.819	0.819
4.037	1.363	2.394
5.808	1.829	3.578
6.344	1.643	3.495	0.797	0.797
7.056	1.693	4.189	0.735	0.735
5.56	1.736	3.393
6.511	1.713	4.372
4.307	1.372	2.631
6.07	1.435	4.272
4.41	1.356	2.715
5.98	1.419	3.393	0.721	0.721
5.06	1.333	2.651	0.681	0.681
7.68	1.733	4.509	0.767	0.767
13.964	1.494	10.972	0.918	0.918
5.232	1.375	2.72	0.675	0.675
5.544	1.409	2.741	0.967	0.967
4.883	1.339	2.475	0.656	0.656
6.846	1.65	3.267	1.446	0.723
5.394	1.395	2.666	0.939	0.939
6.509	1.8	2.762	1.316	0.658
6.488	1.658	2.789	1.482	0.741
6.681	1.38	3.69	1.163	0.5815
5.694	1.489	2.652	1.112	0.556
7.628	1.807	3.997	1.266	0.633
